LookupType|LookupCode|DisplaySequence|EnabledFlag|StartDateActive|EndDateActive|Meaning|Description|Tag
WSC_BS_ACCOUNT_NATURAL_SIGN|270||Y|1/1/1951||270|111269|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|271||Y|1/1/1951||271|111270|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|272||Y|1/1/1951||272|111271|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|273||Y|1/1/1951||273|111272|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|274||Y|1/1/1951||274|111273|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|275||Y|1/1/1951||275|111274|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|276||Y|1/1/1951||276|111275|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|277||Y|1/1/1951||277|111276|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|278||Y|1/1/1951||278|111277|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|279||Y|1/1/1951||279|111278|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|280||Y|1/1/1951||280|111279|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|281||Y|1/1/1951||281|111280|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|282||Y|1/1/1951||282|111281|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|283||Y|1/1/1951||283|111282|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|284||Y|1/1/1951||284|111283|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|285||Y|1/1/1951||285|111284|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|286||Y|1/1/1951||286|111285|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|287||Y|1/1/1951||287|111286|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|288||Y|1/1/1951||288|111287|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|289||Y|1/1/1951||289|111288|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|290||Y|1/1/1951||290|111289|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|291||Y|1/1/1951||291|111290|Debit
WSC_BS_ACCOUNT_NATURAL_SIGN|292||Y|1/1/1951||292|111291|Debit
