COA_NAME,SOURCE_SEGMENT1,SOURCE_SEGMENT2,SOURCE_SEGMENT3,SOURCE_SEGMENT4,SOURCE_SEGMENT5,SOURCE_SEGMENT6,SOURCE_SEGMENT7,SOURCE_SEGMENT8,SOURCE_SEGMENT9,SOURCE_SEGMENT10
POC to Cloud,018,004444,40101,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,018,004018,21750,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,002,003735,11150,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,002,003735,40001,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,002,007861,20006,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,002,004002,10701,013,000000,000000,000000,USD WESCO US,,
POC to Cloud,002,003735,50106,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,002,003735,50703,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,018,001841,20006,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,018,001841,40001,002,000000,000000,000000,USD WESCO US,,
POC to Cloud,002,004444,50101,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,002,004002,10409,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,002,004002,70902,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,002,007302,50601,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,002,007847,50003,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,002,003735,50801,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,002,003735,70105,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,002,003735,50712,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,018,004018,10401,002,000000,000000,000000,USD WESCO US,,
POC to Cloud,018,004018,21580,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,002,003735,50601,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,018,004018,10081,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,002,004002,20001,018,000000,000000,000000,USD WESCO US,,
POC to Cloud,002,004002,70609,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,002,007861,50709,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,002,003735,11049,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,002,004002,20002,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,002,007861,40001,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,002,007847,50201,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,002,007861,50703,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,002,007861,50721,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,002,004002,20083,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,002,007861,50049,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,002,004002,20082,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,002,003735,11001,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,018,001841,11499,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,018,001841,50721,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,018,004444,50101,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,018,004018,20301,002,000000,000000,000000,USD WESCO US,,
POC to Cloud,002,004002,10701,018,000000,000000,000000,USD WESCO US,,
POC to Cloud,002,007148,40001,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,002,007861,40103,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,002,007847,50801,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,018,001841,40201,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,002,007861,50107,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,002,007861,50707,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,002,007861,70401,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,002,007394,40101,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,002,003735,50702,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,002,007861,11498,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,002,007132,20005,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,018,004018,10412,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,018,001841,50705,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,002,003735,11499,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,018,004018,20002,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,002,007847,70901,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,002,003735,70609,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,002,003735,40101,018,000000,000000,000000,USD WESCO US,,
POC to Cloud,002,007861,50601,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,002,007861,50207,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,002,007861,70609,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,002,007304,40201,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,002,007152,40001,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,002,007861,50105,000,000000,000000,000000,USD WESCO US,,
POC to Cloud,018,004018,10401,000,000000,000000,000000,USD WESCO US,,
