COA_NAME,SOURCE_SEGMENT1,SOURCE_SEGMENT2,SOURCE_SEGMENT3,SOURCE_SEGMENT4,SOURCE_SEGMENT5,SOURCE_SEGMENT6,SOURCE_SEGMENT7,SOURCE_SEGMENT8,SOURCE_SEGMENT9,SOURCE_SEGMENT10
Central to Cloud,3605,222-05,,,,,,,,
Central to Cloud,3426,423-45,,,,,,,,
Central to Cloud,3410,222-05,,,,,,,,
Central to Cloud,3905,308-04,,,,,,,,
Central to Cloud,3905,421-67,,,,,,,,
Central to Cloud,2690,423-67,,,,,,,,
Central to Cloud,1546,423-07,,,,,,,,
Central to Cloud,1765,423-23,,,,,,,,
Central to Cloud,1447,224-30,,,,,,,,
Central to Cloud,2760,423-80,,,,,,,,
Central to Cloud,2765,423-30,,,,,,,,
Central to Cloud,2645,423-69,,,,,,,,
Central to Cloud,3640,222-02,,,,,,,,
Central to Cloud,1940,423-05,,,,,,,,
Central to Cloud,6709,423-53,,,,,,,,
Central to Cloud,6216,158-01,,,,,,,,
Central to Cloud,2370,540-27,,,,,,,,
Central to Cloud,2570,308-04,,,,,,,,
Central to Cloud,7866,221-14,,,,,,,,
Central to Cloud,2115,421-69,,,,,,,,
Central to Cloud,6217,507-01,,,,,,,,
Central to Cloud,6221,417-01,,,,,,,,
Central to Cloud,6221,428-30,,,,,,,,
Central to Cloud,6329,222-02,,,,,,,,
Central to Cloud,6329,423-07,,,,,,,,
Central to Cloud,6337,423-68,,,,,,,,
Central to Cloud,6662,221-02,,,,,,,,
Central to Cloud,6662,421-50,,,,,,,,
Central to Cloud,6662,421-52,,,,,,,,
Central to Cloud,6662,421-67,,,,,,,,
Central to Cloud,6668,421-41,,,,,,,,
Central to Cloud,6218,308-04,,,,,,,,
Central to Cloud,6218,423-33,,,,,,,,
Central to Cloud,6456,421-62,,,,,,,,
Central to Cloud,6707,504-48,,,,,,,,
Central to Cloud,6221,221-19,,,,,,,,
Central to Cloud,6228,221-18,,,,,,,,
Central to Cloud,7697,428-30,,,,,,,,
Central to Cloud,7818,222-02,,,,,,,,
Central to Cloud,7818,222-05,,,,,,,,
Central to Cloud,7831,428-30,,,,,,,,
Central to Cloud,6503,428-30,,,,,,,,
Central to Cloud,6337,423-67,,,,,,,,
Central to Cloud,6337,433-01,,,,,,,,
Central to Cloud,6660,421-07,,,,,,,,
Central to Cloud,6672,221-02,,,,,,,,
Central to Cloud,6672,433-99,,,,,,,,
Central to Cloud,6705,421-30,,,,,,,,
Central to Cloud,1913,423-62,,,,,,,,
Central to Cloud,2760,421-52,,,,,,,,
Central to Cloud,1918,308-04,,,,,,,,
Central to Cloud,5837,421-63,,,,,,,,
Central to Cloud,5845,433-33,,,,,,,,
Central to Cloud,5565,423-50,,,,,,,,
Central to Cloud,5571,423-71,,,,,,,,
Central to Cloud,5454,423-23,,,,,,,,
Central to Cloud,1935,222-02,,,,,,,,
Central to Cloud,2370,423-82,,,,,,,,
Central to Cloud,1963,221-02,,,,,,,,
Central to Cloud,1963,433-50,,,,,,,,
Central to Cloud,5845,423-61,,,,,,,,
Central to Cloud,1961,221-12,,,,,,,,
Central to Cloud,1915,421-40,,,,,,,,
Central to Cloud,7692,423-44,,,,,,,,
Central to Cloud,6105,221-22,,,,,,,,
Central to Cloud,7670,421-79,,,,,,,,
Central to Cloud,5439,421-44,,,,,,,,
Central to Cloud,2645,540-29,,,,,,,,
Central to Cloud,2750,421-33,,,,,,,,
Central to Cloud,3410,426-43,,,,,,,,
Central to Cloud,3540,426-68,,,,,,,,
Central to Cloud,1772,421-44,,,,,,,,
Central to Cloud,1918,423-43,,,,,,,,
Central to Cloud,2210,545-52,,,,,,,,
Central to Cloud,5808,426-40,,,,,,,,
Central to Cloud,7653,423-11,,,,,,,,
Central to Cloud,7639,423-10,,,,,,,,
Central to Cloud,7228,433-50,,,,,,,,
Central to Cloud,7850,423-40,,,,,,,,
Central to Cloud,7854,421-32,,,,,,,,
Central to Cloud,7879,423-44,,,,,,,,
Central to Cloud,6707,421-12,,,,,,,,
Central to Cloud,7552,423-82,,,,,,,,
Central to Cloud,7677,423-33,,,,,,,,
Central to Cloud,6705,426-62,,,,,,,,
Central to Cloud,7628,421-12,,,,,,,,
Central to Cloud,7645,421-45,,,,,,,,
Central to Cloud,7866,421-30,,,,,,,,
Central to Cloud,7540,308-04,,,,,,,,
Central to Cloud,7854,224-05,,,,,,,,
Central to Cloud,7574,426-80,,,,,,,,
Central to Cloud,2330,423-77,,,,,,,,
Central to Cloud,2755,222-01,,,,,,,,
Central to Cloud,2815,417-10,,,,,,,,
Central to Cloud,2610,426-60,,,,,,,,
Central to Cloud,2619,426-43,,,,,,,,
Central to Cloud,2680,426-40,,,,,,,,
Central to Cloud,2680,426-79,,,,,,,,
Central to Cloud,7638,426-38,,,,,,,,
Central to Cloud,7305,426-33,,,,,,,,
Central to Cloud,7305,426-53,,,,,,,,
Central to Cloud,2330,221-12,,,,,,,,
Central to Cloud,2455,308-04,,,,,,,,
Central to Cloud,2455,421-43,,,,,,,,
Central to Cloud,2455,421-59,,,,,,,,
Central to Cloud,2455,421-77,,,,,,,,
Central to Cloud,5114,201-12,,,,,,,,
Central to Cloud,3560,421-50,,,,,,,,
Central to Cloud,1764,421-33,,,,,,,,
Central to Cloud,1891,224-15,,,,,,,,
Central to Cloud,3905,423-40,,,,,,,,
Central to Cloud,1938,426-52,,,,,,,,
Central to Cloud,5845,433-05,,,,,,,,
Central to Cloud,5692,423-68,,,,,,,,
Central to Cloud,5846,423-42,,,,,,,,
Central to Cloud,5794,421-53,,,,,,,,
Central to Cloud,3715,423-82,,,,,,,,
Central to Cloud,6101,423-31,,,,,,,,
Central to Cloud,1831,221-02,,,,,,,,
Central to Cloud,1831,421-77,,,,,,,,
Central to Cloud,3255,221-15,,,,,,,,
Central to Cloud,7660,423-10,,,,,,,,
Central to Cloud,7696,423-44,,,,,,,,
Central to Cloud,7697,421-39,,,,,,,,
Central to Cloud,7410,426-59,,,,,,,,
Central to Cloud,5808,423-33,,,,,,,,
Central to Cloud,6329,222-11,,,,,,,,
Central to Cloud,2760,421-68,,,,,,,,
Central to Cloud,2690,426-67,,,,,,,,
Central to Cloud,3255,201-11,,,,,,,,
Central to Cloud,2810,421-43,,,,,,,,
Central to Cloud,5845,222-02,,,,,,,,
Central to Cloud,3540,433-32,,,,,,,,
Central to Cloud,7646,426-62,,,,,,,,
Central to Cloud,6104,426-67,,,,,,,,
Central to Cloud,1927,221-21,,,,,,,,
Central to Cloud,6221,423-09,,,,,,,,
Central to Cloud,7685,423-30,,,,,,,,
Central to Cloud,1965,222-11,,,,,,,,
Central to Cloud,1938,426-08,,,,,,,,
Central to Cloud,7638,423-71,,,,,,,,
Central to Cloud,3715,426-43,,,,,,,,
Central to Cloud,7534,224-07,,,,,,,,
Central to Cloud,7302,224-20,,,,,,,,
Central to Cloud,1935,423-43,,,,,,,,
Central to Cloud,1967,423-59,,,,,,,,
Central to Cloud,2685,421-45,,,,,,,,
Central to Cloud,6712,423-41,,,,,,,,
Central to Cloud,2125,423-61,,,,,,,,
Central to Cloud,7858,423-50,,,,,,,,
Central to Cloud,1721,433-16,,,,,,,,
Central to Cloud,3915,423-77,,,,,,,,
Central to Cloud,7809,433-01,,,,,,,,
Central to Cloud,7545,426-52,,,,,,,,
Central to Cloud,7638,158-01,,,,,,,,
Central to Cloud,1724,428-30,,,,,,,,
Central to Cloud,6329,224-07,,,,,,,,
Central to Cloud,3540,550-47,,,,,,,,
Central to Cloud,1842,224-15,,,,,,,,
Central to Cloud,3580,421-23,,,,,,,,
Central to Cloud,1977,221-01,,,,,,,,
Central to Cloud,6502,421-43,,,,,,,,
Central to Cloud,3255,221-11,,,,,,,,
Central to Cloud,2815,426-62,,,,,,,,
Central to Cloud,1339,423-08,,,,,,,,
Central to Cloud,7891,423-38,,,,,,,,
Central to Cloud,7601,423-41,,,,,,,,
Central to Cloud,3705,433-33,,,,,,,,
Central to Cloud,6103,426-38,,,,,,,,
Central to Cloud,2510,193-27,,,,,,,,
Central to Cloud,1831,221-19,,,,,,,,
Central to Cloud,6104,426-43,,,,,,,,
Central to Cloud,7814,423-38,,,,,,,,
Central to Cloud,7676,433-33,,,,,,,,
Central to Cloud,7601,421-10,,,,,,,,
Central to Cloud,1924,421-76,,,,,,,,
Central to Cloud,7684,201-12,,,,,,,,
Central to Cloud,7684,221-12,,,,,,,,
Central to Cloud,6112,423-60,,,,,,,,
Central to Cloud,7697,502-99,,,,,,,,
Central to Cloud,7587,423-33,,,,,,,,
Central to Cloud,5795,201-12,,,,,,,,
Central to Cloud,5441,423-70,,,,,,,,
Central to Cloud,1967,224-06,,,,,,,,
Central to Cloud,2460,426-12,,,,,,,,
Central to Cloud,2125,423-68,,,,,,,,
Central to Cloud,7697,421-32,,,,,,,,
Central to Cloud,3255,224-24,,,,,,,,
Central to Cloud,2125,421-31,,,,,,,,
Central to Cloud,2760,423-82,,,,,,,,
Central to Cloud,7410,426-66,,,,,,,,
Central to Cloud,7635,224-14,,,,,,,,
Central to Cloud,7635,429-02,,,,,,,,
Central to Cloud,7641,224-14,,,,,,,,
Central to Cloud,7645,224-14,,,,,,,,
Central to Cloud,7653,224-14,,,,,,,,
Central to Cloud,7659,429-02,,,,,,,,
Central to Cloud,7684,429-02,,,,,,,,
Central to Cloud,7685,224-14,,,,,,,,
Central to Cloud,7855,224-14,,,,,,,,
Central to Cloud,7855,429-02,,,,,,,,
